"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104444321",-1.09889931121445,-1.54580624253747,3.42649242313087e-11,1.16037819798981e-09,0.830793272957977,"Down"
"LOC104444444",-0.990704581826787,-1.56233953872999,6.1424918482933e-05,0.000476141918635376,0.872296564787333,"Down"
"LOC104444538",-1.47527885232751,-2.87161977757445,2.30418195634741e-09,5.33222297249299e-08,2.50460501468346,"Down"
"LOC104444649",-0.161162568708701,-3.1121369660995,0,0,8.29287921798159,"Down"
"LOC104444824",-1.15944671497936,-1.46443164536635,3.60993124282061e-10,9.92028338767331e-09,0.0863228746739124,"Down"
"LOC104445133",-0.942377462141296,-1.26986847672829,5.50282535871638e-06,5.72725180233341e-05,0.239488990894655,"Down"
"LOC104445511",-1.27778734670814,-2.44879445155971,1.93178806284777e-14,1.22778406714787e-12,1.14687155444351,"Down"
"LOC104445836",-0.885703638359883,-1.38082591897565,0,0,0.380979439519102,"Down"
"LOC104447403",-1.04704423068351,-1.42319711673891,7.21446125062641e-10,1.84949119587196e-08,0.946184680889981,"Down"
"LOC104447884",-0.732765533915869,-1.18064022234538,1.45315404650459e-05,0.000134350378081005,0.622010582600127,"Down"
"LOC104448763",-1.37838399560928,-2.35590590623389,0,0,1.77906664622672,"Down"
"LOC104448782",-0.824907655752192,-1.26479201069777,2.93707420495615e-07,4.26503883330421e-06,0.37018555791009,"Down"
"LOC104448977",-1.45016516657707,-1.75634209783505,1.12887477143886e-12,5.12310494835222e-11,1.76141934351463,"Down"
"LOC104449015",-3.22336580503809,-6.60951681235211,1.0201950395583e-11,3.79509724771057e-10,10.9419965677575,"Down"
"LOC104449147",-1.33334116516991,-2.5102603890929,6.78741507442737e-11,2.18804398691366e-09,1.56467612655932,"Down"
"LOC104449185",-1.26290748025186,-2.12937662346944,2.22044604925031e-15,1.6918915763336e-13,0.986883526406722,"Down"
"LOC104449297",-2.26838724122569,-3.72664905098721,0,0,5.39019957637794,"Down"
"LOC104449320",-1.04041941328144,-1.51640607930295,5.38113997805567e-12,2.14135838800343e-10,0.67550071175407,"Down"
"LOC104449342",-2.07749956559819,-3.68665545971683,0,0,3.57361667440061,"Down"
"LOC104449482",-1.30141303228204,-1.92087555414379,5.18084464218305e-11,1.71127381955655e-09,0.537624805344357,"Down"
"LOC104449496",-2.01220088697333,-2.69184849508044,0,0,1.38623175860499,"Down"
"LOC104449527",0.427400273259553,-1.05574057698129,1.37730332694375e-08,2.74447641396421e-07,2.61583709425079,"Down"
"LOC104449656",-1.41150625238473,-2.45286133384646,1.53521647505706e-07,2.38287274754081e-06,1.60804122088348,"Down"
"LOC104449672",-1.6621973287118,-3.19734344512169,1.54290548115554e-08,3.02501958406965e-07,2.56611906705369,"Down"
"LOC104449839",-1.53292261259384,-1.69852903744827,2.94486657281823e-12,1.24384671416626e-10,0.105343362614379,"Down"
"LOC104450123",-0.938997421503055,-1.83562110569598,4.88097623763117e-07,6.66561423979153e-06,0.937422906301928,"Down"
"LOC104450144",-1.32128265566965,-1.57133853769193,1.90236715269521e-12,8.36449006597346e-11,0.383003327684997,"Down"
"LOC104450278",-1.32620219792322,-2.20683203423563,5.32907051820075e-15,3.85258761101516e-13,1.18014637377539,"Down"
"LOC104450300",-1.38744916701014,-1.81352940565797,1.37445610448594e-13,7.3728574356835e-12,0.216318628863052,"Down"
"LOC104450301",-1.16921788326842,-2.24219816513685,6.11540262873689e-10,1.59243896995487e-08,1.05685798872947,"Down"
"LOC104450615",-1.25651374519861,-2.28074824311242,6.34421255196749e-07,8.34927011071246e-06,1.75566133420256,"Down"
"LOC104450676",-1.08261809193491,-1.42076135521733,2.81567991144982e-09,6.38560490878812e-08,0.641058940601262,"Down"
"LOC104450842",-0.906831884542857,-1.42810825925035,3.50340769617041e-07,4.9716877152903e-06,0.599635690628221,"Down"
"LOC104450844",-1.00711702394593,-1.86103608596682,2.0578550419259e-08,3.90061696674874e-07,0.767137540900658,"Down"
"LOC104452461",-0.773316275492443,-1.60565390914945,3.68559316399342e-09,8.21706519131068e-08,1.60025291967865,"Down"
"LOC104452670",0.29754088230282,-2.04439322549887,1.11022302462516e-16,1.01977026518737e-14,6.73713303321214,"Down"
"LOC104453134",-0.578367527280342,-1.43235433147162,1.23239196625491e-11,4.51557171132827e-10,3.15450628836989,"Down"
"LOC104453137",-1.21618215157575,-2.03179211311251,0,0,0.759169729674885,"Down"
"LOC104453138",-1.20996897618028,-2.01540608537816,7.7715611723761e-16,6.39389700013188e-14,0.712323803179766,"Down"
"LOC104453153",-1.20825824541094,-1.68852516001194,1.33226762955019e-15,1.05406342454766e-13,0.186171756158101,"Down"
"LOC104453362",-1.28061116896675,-1.63861535247785,5.40085753897301e-11,1.77737914175209e-09,0.129476561143881,"Down"
"LOC104453381",-1.34052939595996,-2.7002331372586,7.68940466855383e-13,3.59298819887252e-11,1.60998519623133,"Down"
"LOC104453418",-1.50349072453446,-2.02150366130722,1.99840144432528e-15,1.54020474535196e-13,0.621623173230895,"Down"
"LOC104453686",-1.17094844980528,-2.11718491313358,1.86517468137026e-14,1.18826247337368e-12,0.97012418284705,"Down"
"LOC104453930",-1.20145985108643,-1.53703506717147,4.84245494813962e-08,8.39557105132855e-07,0.990973857880849,"Down"
"LOC104453948",-2.07708205614212,-4.92294855734961,6.41053876648812e-12,2.4954580588676e-10,10.4503516078454,"Down"
"LOC104454390",-1.27664246596215,-1.76550319589075,3.69057007176821e-11,1.24352738561426e-09,0.181990674684486,"Down"
"LOC104454392",-1.20990245047678,-1.40973692514946,0,0,0.0877329027707963,"Down"
"LOC104454437",-1.46813083739641,-2.14728354747613,1.26868404670688e-10,3.84490110923449e-09,1.56936287479104,"Down"
"LOC104454443",-0.777892047922955,-1.79050301029369,0,0,2.35253810589606,"Down"
"LOC104454512",-1.06470171872511,-2.24415457437852,0,0,3.12025777213472,"Down"
"LOC104454591",-3.65273742704799,-3.73580563411374,3.33066907387547e-16,2.93854852731625e-14,13.0109829587802,"Down"
"LOC104455368",-0.98261884500198,-1.42266923199991,6.33112795522806e-08,1.07133869329446e-06,0.494406850607162,"Down"
"LOC104456127",-1.41378888232784,-1.86211124932639,5.2824411511665e-12,2.10833860290828e-10,1.63183380286507,"Down"
